Supplier name,Product type,Lead time,Order quantities,Price,Manufacturing costs
FastTrack Commerce,Pasta,16,679,28.8,17.35
SmartSource Inc,Beverages,10,1871,35.21,14.57
BulkBuy Wholesale,Frozen Foods,8,81,15.25,10.07
ProPack Trading,Cooking Oils,16,560,10.84,6.86
EasySupply Hub,Biscuits,7,1956,23.3,12.68
SwiftDelivery Co,Tea,13,1540,17.04,7.53
SmartSource Inc,Fresh Juice,19,713,42.42,28.13
SwiftDelivery Co,Beverages,15,1610,18.23,12.68
SmartSource Inc,Coffee,18,393,30.12,14.85
SmartSource Inc,Coffee,5,509,3.46,1.44
MegaStock Inc,Cooking Oils,10,879,29.39,14.76
FastTrack Commerce,Cereals,11,960,28.54,14.41
RapidStock Co,Pasta,18,636,14.02,5.63
PeakPerform Supply,Bakery Items,11,811,3.03,1.82
TrustTrade Global,Condiments,8,1037,3.26,1.89
MegaStock Inc,Cleaning Products,5,1796,4.36,1.88
TrustTrade Global,Cleaning Products,5,455,24.76,13.18
SteadyStock Inc,Cooking Oils,21,763,15.67,7.58
PrimePack Solutions,Chips,18,1973,5.99,2.74
ReliableSource Co,Cleaning Products,6,641,4.83,2.9
NetWorth Distributors,Tea,4,215,24.11,15.87
SafeShip Co,Health Supplements,14,954,31.83,17.13
PeakPerform Supply,Condiments,14,155,37.6,21.19
Metro Distributors,Chips,18,729,27.76,14.76
ValueChain Partners,Cereals,15,1224,34.98,18.93
BestValue Suppliers,Condiments,11,1638,22.38,13.63
SmartSource Inc,Biscuits,20,484,32.62,17.14
TrustTrade Global,Cleaning Products,4,1484,41.63,24.96
MaxFlow Trading,Tea,14,678,43.59,21.57
ClearPath Logistics,Snacks,19,649,9.72,6.19
EasySupply Hub,Cleaning Products,12,382,33.07,22.21
NetWorth Distributors,Chips,3,1361,35.78,23.54
GreenRoute Suppliers,Personal Care,4,324,44.69,18.14
MegaStock Inc,Health Supplements,17,662,4.2,2.82
MaxFlow Trading,Biscuits,11,1947,16.12,8.22
CoreSupply Partners,Tea,15,1223,15.46,8.81
PeakPerform Supply,Bakery Items,7,901,23.94,11.21
ProPack Trading,Chocolate,9,973,39.21,16.97
SmartSource Inc,Health Supplements,9,763,26.8,13.19
PrimePack Solutions,Baby Products,9,1616,33.85,16.2
RapidStock Co,Health Supplements,7,463,9.18,4.69
SmartSource Inc,Snacks,7,641,16.62,10.82
FreshLink Trading,Bakery Items,14,416,36.78,19.85
CoreSupply Partners,Condiments,12,260,41.1,19.93
BulkBuy Wholesale,Chocolate,15,461,7.32,4.47
BulkBuy Wholesale,Condiments,5,1001,12.65,8.49
City Supply Co,Canned Goods,18,1572,4.73,3.26
Metro Distributors,Pet Food,17,844,11.61,5.68
GreenRoute Suppliers,Condiments,10,1442,19.56,8.89
ReliableSource Co,Baby Products,14,476,12.19,6.22
ValueChain Partners,Dairy Products,14,1357,9.3,5.97
ClearPath Logistics,Coffee,3,1712,8.94,3.98
SwiftDelivery Co,Baby Products,4,600,30.99,21.29
FastTrack Commerce,Cooking Oils,5,1022,7.19,3.3
TrustTrade Global,Chocolate,13,139,12.95,8.07
ClearPath Logistics,Rice,19,794,8.87,3.68
ReliableSource Co,Pet Food,6,1733,32.93,15.6
DirectSource Ltd,Cleaning Products,17,364,39.66,18.92
ReliableSource Co,Spices,13,1694,36.88,17.38
CoreSupply Partners,Sauces,4,287,44.71,26.1
Metro Distributors,Pasta,13,1393,24.59,14.29
ProPack Trading,Cooking Oils,7,452,13.16,7.26
City Supply Co,Pet Food,13,907,25.96,17.41
ClearPath Logistics,Cereals,9,734,17.42,8.84
FastTrack Commerce,Chocolate,13,1258,25.63,14.29
BulkBuy Wholesale,Biscuits,10,1858,10.63,6.05
NetWorth Distributors,Rice,18,1668,18.45,10.48
City Supply Co,Cooking Oils,13,1050,32.45,15.01
SteadyStock Inc,Condiments,18,56,21.55,14.91
BulkBuy Wholesale,Sauces,14,51,26.64,12.97
DirectSource Ltd,Pasta,16,1861,41.04,16.74
NetWorth Distributors,Spices,2,732,19.44,12.67
SwiftDelivery Co,Spices,18,1269,34.79,20.53
BrightStar Distributors,Snacks,14,711,24.77,12.86
RapidStock Co,Coffee,6,385,10.29,5.01
City Supply Co,Pasta,9,87,4.16,1.96
FreshLink Trading,Chips,5,1826,3.12,1.65
RapidStock Co,Coffee,5,1563,38.38,19.75
FastTrack Commerce,Spices,20,210,34.64,22.14
FreshLink Trading,Rice,6,1756,3.65,2.38
AllGoods Wholesale,Sauces,5,323,36.98,17.19
AllGoods Wholesale,Fresh Juice,5,602,1.59,1.0
TopShelf Trading,Rice,12,660,7.43,3.55
BestValue Suppliers,Canned Goods,7,638,11.93,5.3
SafeShip Co,Canned Goods,3,80,2.68,1.23
NetWorth Distributors,Chocolate,21,400,25.19,15.15
ValueChain Partners,Personal Care,9,731,4.17,2.4
ProPack Trading,Chips,5,1512,42.04,21.05
CoreSupply Partners,Frozen Foods,21,710,43.83,19.06
ProPack Trading,Fresh Juice,7,1255,13.71,8.51
SmartSource Inc,Pasta,15,1555,22.74,11.66
City Supply Co,Pet Food,19,1593,43.54,28.65
SteadyStock Inc,Tea,16,1237,42.13,19.58
FreshLink Trading,Pasta,2,1180,9.73,5.77
City Supply Co,Dry Fruits,3,853,12.2,8.28
TrustTrade Global,Snacks,6,1043,42.76,28.78
BrightStar Distributors,Spices,15,1012,38.02,17.08
FreshLink Trading,Coffee,8,929,9.64,4.28
MegaStock Inc,Dry Fruits,19,1221,21.98,11.76
NetWorth Distributors,Condiments,19,1537,33.74,20.49
GreenRoute Suppliers,Chocolate,6,181,13.65,6.14
PrimePack Solutions,Frozen Foods,7,378,42.66,28.0
GreenRoute Suppliers,Chocolate,4,453,23.25,15.77
PrimePack Solutions,Baby Products,7,495,16.2,11.31
TrustTrade Global,Canned Goods,17,1445,2.69,1.54
SafeShip Co,Rice,3,1847,32.78,14.06
ValueChain Partners,Rice,4,401,15.05,10.19
PrimePack Solutions,Chips,6,565,36.78,18.99
ClearPath Logistics,Beverages,18,1412,37.35,21.3
RapidStock Co,Health Supplements,9,1903,39.54,23.46
City Supply Co,Pasta,15,1911,8.3,5.72
SafeShip Co,Condiments,8,1366,43.02,20.8
SwiftDelivery Co,Condiments,12,1182,37.13,22.95
TrueValue Wholesale,Cereals,8,1515,24.22,13.38
RapidStock Co,Cooking Oils,21,213,33.31,21.38
BestValue Suppliers,Beverages,12,546,34.67,19.89
BrightStar Distributors,Pasta,12,1199,22.48,12.84
City Supply Co,Chocolate,7,757,36.68,19.92
FastTrack Commerce,Frozen Foods,8,78,1.75,0.7
EasySupply Hub,Dairy Products,19,942,27.73,13.62
PeakPerform Supply,Rice,14,1445,21.35,11.53
TopShelf Trading,Pet Food,13,394,33.83,14.53
AllGoods Wholesale,Cereals,13,1373,18.07,9.2
AllGoods Wholesale,Cleaning Products,14,1220,7.43,4.84
NetWorth Distributors,Personal Care,2,1578,9.01,5.82
ClearPath Logistics,Personal Care,13,1694,36.38,21.84
ValueChain Partners,Cleaning Products,5,1680,6.31,3.79
ReliableSource Co,Pet Food,13,777,33.64,15.25
DirectSource Ltd,Dairy Products,6,915,30.2,16.12
ReliableSource Co,Cleaning Products,18,103,35.69,24.27
PeakPerform Supply,Pasta,3,1563,15.12,7.87
ProPack Trading,Snacks,9,460,19.96,9.58
PeakPerform Supply,Rice,12,1605,10.14,6.23
Metro Distributors,Fresh Juice,12,604,38.49,23.85
BulkBuy Wholesale,Fresh Juice,4,654,44.5,21.78
City Supply Co,Health Supplements,8,1029,4.6,2.05
PeakPerform Supply,Health Supplements,10,439,36.08,14.9
FreshLink Trading,Spices,15,1142,12.26,8.25
BestValue Suppliers,Baby Products,13,543,33.11,22.66
BrightStar Distributors,Frozen Foods,7,794,8.61,5.67
TrustTrade Global,Pasta,20,959,13.76,7.77
City Supply Co,Fresh Juice,16,1382,28.73,14.78
DirectSource Ltd,Frozen Foods,18,897,28.79,19.02
City Supply Co,Tea,2,992,24.3,15.07
BrightStar Distributors,Dairy Products,3,273,7.38,5.16
DirectSource Ltd,Chocolate,2,811,18.54,10.98
BulkBuy Wholesale,Bakery Items,5,1563,23.65,11.64
RapidStock Co,Cleaning Products,2,102,13.66,7.86
PeakPerform Supply,Snacks,3,949,8.88,4.06
FreshLink Trading,Baby Products,11,1929,26.3,18.4
DirectSource Ltd,Chips,21,475,2.21,1.52
DirectSource Ltd,Snacks,10,225,7.16,2.99
City Supply Co,Personal Care,10,1452,43.6,18.42
MaxFlow Trading,Cooking Oils,13,1659,1.91,0.81
BrightStar Distributors,Chocolate,18,983,25.41,10.46
EasySupply Hub,Beverages,15,961,43.55,22.09
QuickShip Logistics,Pasta,5,592,24.22,12.2
FreshLink Trading,Spices,14,93,26.16,11.41
BrightStar Distributors,Canned Goods,16,1021,3.75,1.68
MegaStock Inc,Pet Food,9,1155,18.39,7.93
MegaStock Inc,Bakery Items,5,212,40.96,21.72
SteadyStock Inc,Baby Products,17,1782,5.69,2.63
SwiftDelivery Co,Dry Fruits,8,589,6.37,3.3
TopShelf Trading,Fresh Juice,12,71,28.98,19.88
SteadyStock Inc,Coffee,7,1989,15.32,7.12
SteadyStock Inc,Health Supplements,3,1067,10.2,6.82
PrimePack Solutions,Canned Goods,2,948,7.81,4.84
AllGoods Wholesale,Cleaning Products,11,707,36.9,23.04
DirectSource Ltd,Beverages,19,1109,20.51,13.07
BrightStar Distributors,Dry Fruits,15,1430,27.29,13.52
FastTrack Commerce,Cereals,15,129,5.81,2.35
TrueValue Wholesale,Chips,21,1227,11.83,5.0
SteadyStock Inc,Chips,5,1983,35.13,22.88
CoreSupply Partners,Snacks,2,1711,27.39,16.57
QuickShip Logistics,Frozen Foods,21,975,42.45,18.39
MaxFlow Trading,Chips,6,1405,31.99,20.4
PrimePack Solutions,Chocolate,18,966,38.81,19.09
FreshLink Trading,Spices,20,1818,40.82,23.95
MaxFlow Trading,Cooking Oils,10,1352,9.84,6.03
PeakPerform Supply,Snacks,6,879,20.05,11.9
ProPack Trading,Cereals,19,1968,32.38,19.03
SteadyStock Inc,Sauces,15,1881,13.61,5.7
FreshLink Trading,Snacks,12,193,42.92,19.37
TopShelf Trading,Baby Products,6,1481,39.69,17.64
ValueChain Partners,Condiments,2,1557,20.03,10.84
BestValue Suppliers,Chocolate,9,1408,18.27,9.82
FreshLink Trading,Beverages,17,56,23.71,15.82
ValueChain Partners,Snacks,18,1298,35.97,21.22
FreshLink Trading,Health Supplements,9,441,33.79,14.5
SwiftDelivery Co,Tea,20,415,3.88,1.76
FastTrack Commerce,Fresh Juice,14,221,37.55,19.38
PrimePack Solutions,Beverages,4,963,37.44,25.28
RapidStock Co,Spices,5,1441,7.61,4.52
SteadyStock Inc,Sauces,3,1855,31.17,21.04
EasySupply Hub,Chips,15,1639,6.3,2.69
Metro Distributors,Biscuits,10,53,30.79,18.09
BrightStar Distributors,Chips,7,1398,30.0,20.51
ProPack Trading,Sauces,17,493,34.45,13.99
SmartSource Inc,Fresh Juice,9,1868,36.49,16.99
RapidStock Co,Dry Fruits,13,140,18.51,11.3
TopShelf Trading,Coffee,15,67,35.95,18.05
Metro Distributors,Chocolate,2,1378,3.11,2.02
City Supply Co,Personal Care,21,159,25.36,10.47
TopShelf Trading,Dry Fruits,7,788,3.59,2.2
CoreSupply Partners,Chocolate,3,769,44.28,30.51
ReliableSource Co,Fresh Juice,11,688,36.3,20.89
BrightStar Distributors,Rice,4,1778,7.02,3.25
FreshLink Trading,Sauces,3,811,2.06,0.94
TopShelf Trading,Pet Food,20,1299,43.64,23.22
FreshLink Trading,Chips,5,1611,28.92,12.52
ReliableSource Co,Rice,21,1846,24.84,13.01
SmartSource Inc,Pasta,21,79,11.81,7.69
FreshLink Trading,Tea,16,621,26.01,17.86
FreshLink Trading,Bakery Items,17,941,20.59,10.53
SafeShip Co,Personal Care,3,621,9.69,5.31
TopShelf Trading,Condiments,5,730,37.11,18.79
ClearPath Logistics,Canned Goods,7,1321,15.52,9.54
FastTrack Commerce,Biscuits,14,123,40.96,28.02
City Supply Co,Condiments,15,1065,14.16,7.49
SteadyStock Inc,Cooking Oils,14,1016,42.89,28.14
CoreSupply Partners,Spices,4,1869,15.22,7.27
SafeShip Co,Coffee,11,463,27.53,12.14
Metro Distributors,Chocolate,5,399,3.97,2.24
CoreSupply Partners,Health Supplements,2,474,22.93,9.78
Metro Distributors,Bakery Items,2,560,29.08,18.63
Metro Distributors,Chocolate,6,1784,11.91,8.0
PeakPerform Supply,Pet Food,14,69,27.48,16.06
RapidStock Co,Tea,13,1051,32.14,18.01
MaxFlow Trading,Cooking Oils,5,1865,18.92,8.05
Metro Distributors,Coffee,14,583,15.09,10.09
City Supply Co,Pasta,9,1655,27.16,16.93
SafeShip Co,Sauces,4,939,43.2,19.11
SafeShip Co,Frozen Foods,16,1462,38.04,20.28
EasySupply Hub,Bakery Items,2,747,13.18,7.83
SteadyStock Inc,Snacks,7,1533,18.1,11.29
PrimePack Solutions,Chocolate,11,1793,36.09,18.29
MegaStock Inc,Chips,6,1899,5.46,3.05
MegaStock Inc,Sauces,19,1088,36.66,24.6
SteadyStock Inc,Dry Fruits,20,1888,10.95,5.01
RapidStock Co,Tea,10,771,9.77,5.69
FreshLink Trading,Biscuits,3,410,11.65,5.69
NetWorth Distributors,Fresh Juice,4,1657,29.3,14.39
FastTrack Commerce,Baby Products,9,1421,30.9,16.45
FastTrack Commerce,Sauces,3,1320,43.66,18.28
MegaStock Inc,Tea,12,506,35.34,19.1
DirectSource Ltd,Tea,14,1593,10.9,6.09
GreenRoute Suppliers,Cleaning Products,10,418,32.41,13.12
PrimePack Solutions,Rice,20,389,29.44,16.52
MaxFlow Trading,Spices,7,1784,10.32,5.36
ClearPath Logistics,Dairy Products,12,192,35.84,23.99
PrimePack Solutions,Bakery Items,15,1057,19.04,7.64
SmartSource Inc,Dry Fruits,15,140,5.36,2.75
ReliableSource Co,Fresh Juice,12,1085,40.02,21.36
ClearPath Logistics,Frozen Foods,11,315,33.47,21.9
SwiftDelivery Co,Biscuits,6,1597,26.58,15.07
MegaStock Inc,Pasta,3,1336,30.17,18.6
TopShelf Trading,Spices,2,1461,11.62,6.65
TrustTrade Global,Condiments,18,1859,40.87,25.5
TrustTrade Global,Sauces,21,1597,2.49,1.09
ValueChain Partners,Rice,21,1137,18.52,7.65
BestValue Suppliers,Health Supplements,14,1675,15.89,7.43
ClearPath Logistics,Biscuits,9,1823,4.84,2.9
GreenRoute Suppliers,Beverages,17,84,21.78,12.64
QuickShip Logistics,Dry Fruits,3,1680,14.18,7.91
ProPack Trading,Chocolate,15,1982,2.5,1.27
SmartSource Inc,Health Supplements,9,1917,43.32,29.41
ValueChain Partners,Spices,4,417,27.87,12.39
TopShelf Trading,Baby Products,10,760,13.39,5.71
GreenRoute Suppliers,Condiments,17,1197,24.16,11.87
ProPack Trading,Pet Food,11,346,39.93,16.26
MaxFlow Trading,Rice,9,1127,38.22,15.81
GreenRoute Suppliers,Dry Fruits,13,1741,30.79,18.32
MaxFlow Trading,Snacks,16,1091,20.11,10.74
MegaStock Inc,Spices,2,120,35.31,16.14
BrightStar Distributors,Spices,17,1679,40.99,24.23
ReliableSource Co,Sauces,3,1385,11.07,7.28
GreenRoute Suppliers,Condiments,14,189,13.21,9.14
ProPack Trading,Pasta,4,779,34.75,14.87
EasySupply Hub,Baby Products,9,356,28.29,15.02
SafeShip Co,Dairy Products,10,1091,39.82,25.42
SafeShip Co,Frozen Foods,10,1386,12.03,5.9
MegaStock Inc,Dairy Products,16,1130,8.55,4.57
SwiftDelivery Co,Baby Products,17,1020,10.33,6.49
FreshLink Trading,Pasta,14,110,4.98,2.99
CoreSupply Partners,Dairy Products,21,823,14.84,9.93
City Supply Co,Snacks,20,367,15.74,9.49
MaxFlow Trading,Condiments,12,1948,27.62,18.68
PeakPerform Supply,Canned Goods,16,1115,12.35,7.93
AllGoods Wholesale,Coffee,17,1030,18.14,8.67
BulkBuy Wholesale,Cereals,11,1972,44.89,28.22
DirectSource Ltd,Cooking Oils,5,1864,9.91,4.77
ReliableSource Co,Beverages,6,1138,29.67,13.32
PeakPerform Supply,Cooking Oils,15,750,9.37,4.37
ClearPath Logistics,Sauces,17,791,18.4,9.87
CoreSupply Partners,Pasta,12,1430,37.38,15.11
CoreSupply Partners,Rice,20,1348,43.64,27.35
RapidStock Co,Cereals,21,969,17.21,8.73
FastTrack Commerce,Sauces,11,1336,42.35,19.24
City Supply Co,Chips,10,947,2.96,1.41
ValueChain Partners,Coffee,14,783,23.44,14.36
GreenRoute Suppliers,Dry Fruits,2,189,42.6,26.35
NetWorth Distributors,Sauces,21,386,37.81,15.83
SteadyStock Inc,Cereals,18,1156,15.91,9.81
SteadyStock Inc,Chocolate,16,178,38.53,19.49
SafeShip Co,Chocolate,9,605,29.84,17.74
ValueChain Partners,Cereals,2,319,37.3,21.86
ClearPath Logistics,Tea,9,1174,15.33,7.38
SteadyStock Inc,Frozen Foods,10,174,8.28,5.54
CoreSupply Partners,Pasta,19,1616,1.82,1.11
SmartSource Inc,Chocolate,14,1488,32.99,19.41
SafeShip Co,Biscuits,21,145,24.96,13.36
GreenRoute Suppliers,Pasta,7,1048,8.7,4.63
NetWorth Distributors,Bakery Items,5,768,20.88,11.21
ProPack Trading,Biscuits,4,749,40.18,17.55
ReliableSource Co,Sauces,7,183,33.71,15.62
TrueValue Wholesale,Coffee,4,530,33.78,20.83
GreenRoute Suppliers,Dairy Products,11,91,31.89,22.14
ReliableSource Co,Dairy Products,20,1464,38.19,19.83
EasySupply Hub,Pet Food,5,918,8.88,5.54
ClearPath Logistics,Sauces,21,1533,25.23,15.56
TopShelf Trading,Baby Products,15,1032,39.78,20.61
TrueValue Wholesale,Baby Products,4,1078,7.53,3.72
RapidStock Co,Cleaning Products,7,307,12.71,6.63
ReliableSource Co,Biscuits,15,951,3.35,2.03
QuickShip Logistics,Sauces,16,238,29.25,16.25
RapidStock Co,Cooking Oils,16,1298,7.63,4.1
SwiftDelivery Co,Health Supplements,7,443,43.11,30.13
BestValue Suppliers,Chocolate,3,103,35.65,16.28
CoreSupply Partners,Dairy Products,9,1641,20.7,9.84
ValueChain Partners,Canned Goods,11,1029,37.71,24.34
QuickShip Logistics,Dairy Products,13,1843,15.19,10.6
SteadyStock Inc,Frozen Foods,4,1191,6.43,3.66
FreshLink Trading,Tea,4,1651,27.76,11.12
PeakPerform Supply,Beverages,15,984,22.04,11.64
ClearPath Logistics,Dry Fruits,8,1743,39.37,18.22
MaxFlow Trading,Sauces,11,690,12.1,5.55
TrustTrade Global,Rice,7,764,15.52,6.25
FastTrack Commerce,Cooking Oils,9,547,31.7,19.7
BrightStar Distributors,Frozen Foods,4,117,5.86,2.94
DirectSource Ltd,Health Supplements,14,973,15.75,10.34
FreshLink Trading,Rice,20,1255,30.58,15.52
RapidStock Co,Pet Food,16,1015,3.34,1.43
MaxFlow Trading,Coffee,2,788,20.14,12.03
BulkBuy Wholesale,Cooking Oils,19,451,9.62,4.04
ValueChain Partners,Condiments,12,677,17.63,11.31
SteadyStock Inc,Condiments,14,1841,21.98,12.16
ClearPath Logistics,Cereals,15,1075,20.36,10.71
SteadyStock Inc,Rice,11,1523,14.96,8.59
ReliableSource Co,Bakery Items,2,1405,19.07,13.09
CoreSupply Partners,Canned Goods,15,1810,21.01,9.62
BulkBuy Wholesale,Cleaning Products,2,822,37.2,23.63
ValueChain Partners,Canned Goods,20,653,7.89,4.6
BulkBuy Wholesale,Pet Food,4,233,28.22,12.77
NetWorth Distributors,Pasta,8,1365,34.61,20.39
City Supply Co,Fresh Juice,21,1409,22.52,15.09
City Supply Co,Chips,20,1561,10.51,5.72
SteadyStock Inc,Bakery Items,5,333,42.0,19.52
BulkBuy Wholesale,Baby Products,20,1309,23.48,13.53
PeakPerform Supply,Dry Fruits,3,264,17.56,7.04
ClearPath Logistics,Pet Food,13,1323,16.7,8.17
EasySupply Hub,Dairy Products,15,1194,44.46,18.6
TopShelf Trading,Sauces,18,120,42.83,17.62
BrightStar Distributors,Beverages,2,1820,43.8,26.48
SafeShip Co,Pasta,15,1116,2.24,1.44
CoreSupply Partners,Condiments,5,1729,39.31,18.96
TrueValue Wholesale,Cereals,15,51,41.33,22.65
GreenRoute Suppliers,Frozen Foods,5,1556,39.88,17.38
SwiftDelivery Co,Pasta,20,730,28.45,17.69
TopShelf Trading,Dry Fruits,6,1233,5.07,3.07
BestValue Suppliers,Baby Products,5,1271,17.98,12.54
ReliableSource Co,Dry Fruits,3,1283,39.1,18.4
DirectSource Ltd,Dairy Products,17,1367,19.61,13.46
RapidStock Co,Canned Goods,2,1911,38.08,19.44
RapidStock Co,Rice,19,1349,10.37,5.39
ReliableSource Co,Chips,2,1872,39.7,16.77
PeakPerform Supply,Chocolate,2,269,34.4,17.27
PeakPerform Supply,Personal Care,8,1569,19.61,11.52
DirectSource Ltd,Condiments,21,663,17.33,11.32
GreenRoute Suppliers,Cleaning Products,10,1882,27.94,12.92
City Supply Co,Beverages,20,897,2.95,1.28
GreenRoute Suppliers,Spices,8,1696,28.94,20.04
Metro Distributors,Cooking Oils,9,416,36.06,18.14
EasySupply Hub,Baby Products,7,1948,14.91,10.39
AllGoods Wholesale,Biscuits,19,1374,43.53,28.12
AllGoods Wholesale,Beverages,11,1270,23.05,11.05
ValueChain Partners,Biscuits,12,710,17.0,11.85
ClearPath Logistics,Sauces,20,1549,10.65,6.55
City Supply Co,Spices,16,1599,35.99,24.69
DirectSource Ltd,Bakery Items,4,1917,29.35,13.54
GreenRoute Suppliers,Chips,5,1333,1.56,0.86
CoreSupply Partners,Chips,4,1470,18.75,11.83
ProPack Trading,Tea,2,1328,39.23,27.27
BulkBuy Wholesale,Dairy Products,18,1921,37.71,22.74
SteadyStock Inc,Sauces,18,1842,32.65,15.62
GreenRoute Suppliers,Dry Fruits,10,345,27.16,11.13
MaxFlow Trading,Chocolate,18,1252,44.44,22.13
TrueValue Wholesale,Biscuits,12,1041,23.86,10.97
SafeShip Co,Biscuits,3,442,22.3,10.35
ProPack Trading,Condiments,4,364,3.75,2.59
MaxFlow Trading,Biscuits,15,1210,29.45,14.48
SwiftDelivery Co,Condiments,3,985,12.46,6.7
AllGoods Wholesale,Dairy Products,8,574,43.91,27.09
SwiftDelivery Co,Health Supplements,5,1942,13.41,6.65
BrightStar Distributors,Dairy Products,19,256,12.06,7.88
TrustTrade Global,Dairy Products,17,1849,2.96,1.22
ValueChain Partners,Chocolate,13,673,33.17,14.35
SteadyStock Inc,Pet Food,6,1446,9.87,4.69
TrueValue Wholesale,Bakery Items,2,1841,33.04,16.04
MegaStock Inc,Frozen Foods,12,719,39.96,24.37
TrustTrade Global,Canned Goods,12,1774,17.21,7.29
ValueChain Partners,Bakery Items,6,1408,43.3,27.23
CoreSupply Partners,Baby Products,20,1160,20.88,8.74
PeakPerform Supply,Snacks,21,440,30.27,13.21
BulkBuy Wholesale,Chips,10,270,23.09,12.22
QuickShip Logistics,Bakery Items,11,1104,43.67,19.53
CoreSupply Partners,Health Supplements,3,1276,19.17,9.64
CoreSupply Partners,Canned Goods,15,1715,4.82,2.11
PeakPerform Supply,Fresh Juice,20,661,23.96,16.17
SteadyStock Inc,Cleaning Products,3,53,4.85,2.18
GreenRoute Suppliers,Cereals,2,301,19.76,11.34
TrustTrade Global,Spices,13,1331,44.43,26.44
ReliableSource Co,Cereals,7,503,25.35,15.06
GreenRoute Suppliers,Sauces,18,679,5.83,2.75
DirectSource Ltd,Sauces,7,408,36.38,14.8
ProPack Trading,Pasta,21,1367,3.93,2.73
SmartSource Inc,Personal Care,20,1644,29.37,14.77
BestValue Suppliers,Cooking Oils,2,1309,34.7,23.46
ValueChain Partners,Frozen Foods,18,1362,4.49,2.53
TrustTrade Global,Canned Goods,12,2000,20.88,9.47
Metro Distributors,Health Supplements,18,1054,9.55,4.64
TrueValue Wholesale,Bakery Items,3,1755,42.3,24.32
TrueValue Wholesale,Cooking Oils,16,1903,39.31,21.73
PeakPerform Supply,Baby Products,4,814,16.27,6.95
DirectSource Ltd,Chips,13,1520,43.9,22.41
BestValue Suppliers,Fresh Juice,10,555,28.77,12.72
QuickShip Logistics,Coffee,8,312,25.5,11.28
CoreSupply Partners,Chocolate,17,1946,29.48,13.31
AllGoods Wholesale,Snacks,7,96,40.26,23.56
TopShelf Trading,Tea,7,836,15.17,6.55
TopShelf Trading,Cereals,10,348,2.92,1.72
PeakPerform Supply,Coffee,18,1593,6.34,4.42
QuickShip Logistics,Rice,13,1610,39.06,17.23
SwiftDelivery Co,Cereals,3,497,4.13,1.82
SteadyStock Inc,Dairy Products,9,82,2.16,0.94
FreshLink Trading,Rice,15,669,37.73,17.19
DirectSource Ltd,Cereals,16,1365,22.3,13.46
ClearPath Logistics,Beverages,13,737,30.37,17.77
BrightStar Distributors,Canned Goods,17,1021,2.52,1.51
EasySupply Hub,Snacks,11,1203,21.79,12.79
TopShelf Trading,Coffee,21,1245,33.52,18.62
NetWorth Distributors,Health Supplements,7,769,19.02,10.98
TopShelf Trading,Pet Food,11,209,4.27,2.15
SteadyStock Inc,Tea,15,1660,14.11,8.28
NetWorth Distributors,Frozen Foods,16,1497,19.03,8.86
EasySupply Hub,Chocolate,2,1986,3.24,1.41
QuickShip Logistics,Dry Fruits,11,1072,15.17,9.06
CoreSupply Partners,Cooking Oils,7,312,3.48,1.46
ReliableSource Co,Coffee,2,1549,13.77,6.04
SafeShip Co,Cooking Oils,20,1534,11.22,6.67
TrueValue Wholesale,Canned Goods,8,1614,25.51,16.39
FastTrack Commerce,Condiments,5,882,40.43,27.69
EasySupply Hub,Sauces,21,1851,30.4,14.96
DirectSource Ltd,Fresh Juice,20,1046,3.23,1.4
BestValue Suppliers,Chocolate,20,726,40.54,25.85
QuickShip Logistics,Cooking Oils,17,1166,40.76,17.87
RapidStock Co,Snacks,8,1063,6.61,3.93
TrueValue Wholesale,Chocolate,14,71,9.41,4.61
GreenRoute Suppliers,Sauces,7,1532,38.06,19.09
SmartSource Inc,Biscuits,11,1506,17.87,10.26
GreenRoute Suppliers,Tea,4,1713,13.73,8.16
ProPack Trading,Cooking Oils,2,1113,30.65,15.54
SafeShip Co,Tea,4,188,40.17,25.94
ProPack Trading,Chocolate,10,1344,14.85,6.16
BulkBuy Wholesale,Baby Products,17,1740,12.83,7.09
ValueChain Partners,Frozen Foods,10,678,42.27,22.51
PeakPerform Supply,Condiments,14,848,20.11,8.36
DirectSource Ltd,Biscuits,14,1659,44.93,24.15
QuickShip Logistics,Biscuits,18,205,19.21,10.72
BrightStar Distributors,Coffee,16,1370,11.08,7.17
NetWorth Distributors,Rice,20,905,20.56,11.42
DirectSource Ltd,Cooking Oils,6,997,40.48,24.59
FastTrack Commerce,Cleaning Products,5,1361,23.97,15.36
SmartSource Inc,Bakery Items,12,900,23.05,15.13
QuickShip Logistics,Condiments,12,617,28.81,19.08
SwiftDelivery Co,Spices,16,1273,21.37,13.72
BrightStar Distributors,Tea,21,1654,32.78,17.79
NetWorth Distributors,Cleaning Products,3,1754,14.93,8.84
MegaStock Inc,Condiments,2,90,4.6,2.11
CoreSupply Partners,Pasta,5,359,21.98,15.13
RapidStock Co,Frozen Foods,5,1357,9.48,5.57
SwiftDelivery Co,Sauces,16,1464,7.03,2.92
SwiftDelivery Co,Spices,7,718,38.53,16.62
ProPack Trading,Rice,19,777,20.25,9.05
TopShelf Trading,Sauces,11,1918,8.27,5.49
ValueChain Partners,Condiments,16,680,8.22,5.12
MaxFlow Trading,Canned Goods,2,428,7.03,3.39
Metro Distributors,Fresh Juice,11,1902,26.33,10.86
PrimePack Solutions,Sauces,12,370,32.56,22.34
ReliableSource Co,Personal Care,5,1533,13.62,7.33
